"","points_5","points_4","points_3","points_2","points_1"
"9417","New Zealand Dotterel","Yellow-eyed penguin","Banded Dotterel","Blue Duck","South Island Kōkako"
"9418","Kākāpō","Fantail","Kea","Harrier","Kingfisher"
"9419","Buller's Mollymawk","Fairy Tern","Morepork","Rockhopper Penguin","Welcome Swallow"
"9420","Bar-tailed Godwit","Little Penguin","Royal Spoonbill","Welcome Swallow","New Zealand Falcon"
"9421","Kea","Yellow-eyed penguin","Kākāpō","Black-billed Gull","Black Robin"
"9422","Yellow-eyed penguin",NA,NA,NA,NA
"9423","Blue Duck","Black Robin","Black Petrel","Bellbird","Antipodean Albatross"
"9424","New Zealand Falcon","Bellbird","Blue Duck","Antipodean Albatross","Black-billed Gull"
"9425","Fantail",NA,NA,NA,NA
"9426","Kea","Fantail","Bar-tailed Godwit","Barn Owl","Bellbird"
"9427","Fantail","Kererū","Kingfisher","Tūī","Stitchbird"
"9428","Blue Duck","Kōkako","Little Penguin","Fairy Tern","Kākāpō"
"9429","Kākā","Orange-fronted Parakeet","Blue Duck","Yellow-eyed penguin","Hutton's Shearwater"
"9430","Gibson's Albatross","Black Robin","Banded Dotterel","Black Stilt","Bittern"
"9431","Yellow-eyed penguin","Black Petrel",NA,NA,NA
"9432","Rock Wren","New Zealand Falcon","Blue Duck","Kea","Australasian Gannet"
"9433","Kea","Kākā","Kākāpō","Great Spotted Kiwi","Harrier"
"9434","Bittern","Whenua Hou Diving Petrel","Black Robin","Kākā","Yellow-eyed penguin"
"9435","Antipodean Albatross","New Zealand Falcon","Kingfisher","Kākā","Saddleback"
"9436","Saddleback","Blue Duck","Kākā","Mōhua","Bellbird"
"9437","Kākāpō","Orange-fronted Parakeet","Black Robin","Fiordland Crested Penguin",NA
"9438","New Zealand Dotterel","Antipodean Albatross","Black Robin","Banded Dotterel","Stitchbird"
"9439","Yellow-eyed penguin","Kea","Harrier",NA,NA
"9440","Kākāpō","Fiordland Crested Penguin","Great Spotted Kiwi","Kea","Rockhopper Penguin"
"9441","Kākāpō","Barn Owl","Little Penguin","Little Spotted Kiwi","Royal Spoonbill"
"9442","New Zealand Dotterel","Banded Dotterel","Rock Wren","Rifleman","Yellow-eyed penguin"
"9443","New Zealand Falcon","Fairy Tern","Campbell Black-Browed Albatross","Buller's Mollymawk","Saddleback"
"9444","Blue Duck","Kōkako","Little Penguin","Fairy Tern","Kākāpō"
"9445","Yellow-eyed penguin","Southern Brown Kiwi","Orange-fronted Parakeet","Black Robin","Blue Duck"
"9446","Kea","Kererū","Kākāpō","Takahē","North Island Brown Kiwi"
"9447","Harrier","Kererū","Kākāpō","Orange-fronted Parakeet","New Zealand Falcon"
"9448","Black Robin","Fiordland Crested Penguin","Kea","Kākāpō","Tūī"
"9449","Kākāpō","Black Robin","Kākā","Kōkako","Yellow-eyed penguin"
"9450","Wrybill","Spotted Shag","Bittern","Kingfisher","Kākā"
"9451","Yellow-eyed penguin",NA,NA,NA,NA
"9452","Blue Duck","Little Penguin","Kākāpō","Banded Dotterel","Antipodean Albatross"
"9453","Antipodean Albatross","Mōhua","Southern Brown Kiwi","Blue Duck","Little Spotted Kiwi"
"9454","Yellow-eyed penguin",NA,NA,NA,NA
"9455","Kererū","South Island Pied Oystercatcher","Black Petrel","Black Robin","Blue Duck"
"9456","Kea","Kingfisher","Kākāpō","Pūkeko",NA
"9457","Yellow-eyed penguin","Fantail","Black Robin","Little Spotted Kiwi","North Island Brown Kiwi"
"9458","Morepork","Bellbird","Fantail","Kererū","Pūkeko"
"9459","Black Robin","Morepork","New Zealand Falcon","Fantail","Bellbird"
"9460","Morepork","Little Spotted Kiwi","Fantail","Kererū","Kākāpō"
"9461","Chatham Island Mollymawk","Little Spotted Kiwi","Kākā","Black Robin","Fantail"
"9462","Stitchbird","Takahē","Shore Plover","Saddleback","Morepork"
"9463","Banded Dotterel","South Island Kōkako","Kākāpō","New Zealand Dotterel","Yellow-eyed penguin"
"9464","Grey Warbler","Banded Dotterel","Tomtit","Fairy Tern","Morepork"
"9465","Yellow-eyed penguin","Stitchbird","Rockhopper Penguin","Tūī","Takahē"
