"","points_5","points_4","points_3","points_2","points_1"
"2776","Grey Warbler","New Zealand Falcon","North Island Brown Kiwi","Tūī","Morepork"
"2777","Fantail","Southern Brown Kiwi","Kōkako","Little Penguin","Blue Duck"
"2778","Kererū","Kingfisher","Barn Owl","Silvereye","Little Penguin"
"2779","Yellow-eyed penguin","Kākāpō","Kākā","Orange-fronted Parakeet","New Zealand Dotterel"
"2780","Black-billed Gull","Morepork","Yellow-eyed penguin","Fairy Tern","Hutton's Shearwater"
"2781","Wrybill","South Island Kōkako","Black Robin","Antipodean Albatross","Fairy Tern"
"2782","Kea","Kākāpō","Black Robin","Bittern","Blue Duck"
"2783","Rockhopper Penguin","Kākāpō","Blue Duck","White Heron","Morepork"
"2784","Mōhua","New Zealand Dotterel","Banded Dotterel","Stitchbird","Kōkako"
"2785","Yellow-eyed penguin","Morepork","Silvereye","Kākāpō","Kea"
"2786","Fiordland Crested Penguin","Southern Royal Albatross","New Zealand Robin","North Island Brown Kiwi","Harrier"
"2787","South Island Pied Oystercatcher","Fiordland Crested Penguin","Little Spotted Kiwi","Great Spotted Kiwi","Barn Owl"
"2788","Kākāpō","Fantail","Orange-fronted Parakeet","Pūkeko","Morepork"
"2789","Wrybill",NA,NA,NA,NA
"2790","Morepork","Fantail","Great Spotted Kiwi","Kingfisher","Rifleman"
"2791","Fantail","Kea","Little Penguin","New Zealand Falcon","Tomtit"
"2792","Mōhua","South Island Pied Oystercatcher","New Zealand Dabchick","Fiordland Crested Penguin","Australasian Crested Grebe"
"2793","Kea","Kākā","Kākāpō","New Zealand Falcon","Weka"
"2794","Blue Duck","Yellow-eyed penguin","North Island Brown Kiwi","New Zealand Falcon","Whenua Hou Diving Petrel"
"2795","Yellow-eyed penguin","Antipodean Albatross","Kererū","Southern Brown Kiwi","Southern Royal Albatross"
"2796","Kākāpō","Bellbird","South Island Kōkako","Kōkako","Little Spotted Kiwi"
"2797","Orange-fronted Parakeet","Black-billed Gull","Whenua Hou Diving Petrel","Fairy Tern","Yellow-eyed penguin"
"2798","Rifleman","Banded Dotterel","Barn Owl","Little Penguin","Silvereye"
"2799","Antipodean Albatross","Barn Owl","Kea","Kererū","Rock Wren"
"2800","Southern Brown Kiwi","Banded Dotterel","Kea","Orange-fronted Parakeet","Rockhopper Penguin"
"2801","Great Spotted Kiwi","Kea","Kākā","Morepork","Kākāpō"
"2802","Grey Warbler","Fantail","Black Robin","Welcome Swallow","Kōkako"
"2803","Kea","Kākāpō","Little Spotted Kiwi","Shore Plover","Antipodean Albatross"
"2804","Morepork","Kākāpō","Kākā","Weka","Kea"
"2805","Antipodean Albatross","Fiordland Crested Penguin","New Zealand Falcon","Morepork","Shore Plover"
"2806","Yellow-eyed penguin","New Zealand Falcon","Rockhopper Penguin","Little shag","Morepork"
"2807","Antipodean Albatross","Fiordland Crested Penguin","Rifleman","Royal Spoonbill","Tomtit"
"2808","Buller's Mollymawk","Kākāpō","Tomtit","Chatham Island Mollymawk","Southern Brown Kiwi"
"2809","Little Spotted Kiwi","Southern Brown Kiwi","Fantail","Little Penguin","Kingfisher"
"2810","Rifleman","Banded Dotterel","Tūī","Fantail","Shore Plover"
"2811","Australasian Crested Grebe","Banded Dotterel","Bittern","Black Robin","Great Spotted Kiwi"
"2812","Yellow-eyed penguin","Northern Royal Albatross","Kererū","Royal Spoonbill","White Heron"
"2813","Southern Brown Kiwi","Black Robin","New Zealand Dotterel","Little Spotted Kiwi","Kākāpō"
"2814","Kingfisher","New Zealand Falcon","Little Penguin","Tūī","Kākāpō"
"2815","Yellow-eyed penguin","Takahē","New Zealand Falcon","Tūī","Kererū"
"2816","Antipodean Albatross","South Island Pied Oystercatcher","Fernbird","Kererū","Fairy Tern"
"2817","Stitchbird","Kākāpō","Fantail","New Zealand Robin","Blue Duck"
"2818","New Zealand Falcon","Harrier","Black Petrel","Black Robin","Little Penguin"
"2819","North Island Brown Kiwi","Orange-fronted Parakeet","Little Spotted Kiwi","Kākāpō","Harrier"
"2820","Black Robin","Kingfisher","Black-fronted Tern","Kākāpō","South Island Kōkako"
"2821","Kākā","Kākāpō","Kea","Black shag","Little Spotted Kiwi"
"2822","New Zealand Dabchick","Australasian Crested Grebe","Fiordland Crested Penguin","Orange-fronted Parakeet","Hutton's Shearwater"
"2823","Kea","Kākāpō","Morepork","Tūī","Kākā"
"2824","Little Spotted Kiwi","Southern Brown Kiwi","Black Robin","Kākāpō","Kākā"
"2825","Black Robin","Welcome Swallow","Silvereye","Fantail","New Zealand Robin"
"2826","Kākāpō","Kea","Kingfisher","Morepork","Rifleman"
"2827","Fantail","Harrier","Rifleman","White-faced Heron","Welcome Swallow"
"2828","Antipodean Albatross","New Zealand Dabchick","Southern Royal Albatross","Campbell Black-Browed Albatross","Little Spotted Kiwi"
"2829","Kingfisher","Kākā","Kākāpō","Blue Duck","New Zealand Falcon"
"2830","Morepork","Kākāpō","Barn Owl","Great Spotted Kiwi","Saddleback"
"2831","Rifleman","Stitchbird","Southern Royal Albatross","Kingfisher","New Zealand Falcon"
"2832","Little Spotted Kiwi","Southern Brown Kiwi","Fantail","Little Penguin","Kingfisher"
"2833","Yellow-eyed penguin","Antipodean Albatross","Mōhua","Gibson's Albatross","Bittern"
"2834","Whenua Hou Diving Petrel","Fairy Tern","The Otago Shag","Shore Plover","Blue Duck"
"2835","Fantail","Barn Owl","North Island Brown Kiwi","Kea","Tūī"
"2836","Banded Dotterel","Chatham Island Oystercatcher","Tūī","Black Robin","New Zealand Dabchick"
"2837","Antipodean Albatross","Yellow-eyed penguin","Orange-fronted Parakeet","Chatham Island Oystercatcher","Southern Royal Albatross"
"2838","Yellow-eyed penguin","Kākāpō","Black Robin","Kea","Antipodean Albatross"
"2839","New Zealand Dabchick","Little Penguin","Southern Brown Kiwi","Fiordland Crested Penguin","Morepork"
"2840","Little Penguin","Black Robin","Little Spotted Kiwi","Stitchbird","Kākāpō"
"2841","Morepork","Kingfisher","Chatham Island Mollymawk","Light-mantled Sooty Albatross","Black-billed Gull"
"2842","Tūī","Kererū","Rockhopper Penguin","Fiordland Crested Penguin","Kea"
"2843","Whenua Hou Diving Petrel","Little Penguin","Yellow-eyed penguin","Little Spotted Kiwi","Fairy Tern"
"2844","New Zealand Falcon","Pied Shag","Variable Oystercatcher","Fantail","Grey Warbler"
"2845","Southern Brown Kiwi","Banded Dotterel","Takahē","Black Robin","Kōkako"
"2846","Mōhua","Southern Brown Kiwi","Orange-fronted Parakeet","Little Penguin","Rifleman"
"2847","Yellow-eyed penguin","Kākāpō","Kākā","North Island Brown Kiwi","Southern Brown Kiwi"
"2848","Black Robin","Yellow-eyed penguin","Black Stilt","Kākā","Morepork"
"2849","Bellbird","Shore Plover","Black-billed Gull","White Heron","Southern Royal Albatross"
"2850","Yellow-eyed penguin",NA,NA,NA,NA
"2851","Kākāpō","Kōkako","Saddleback","Royal Spoonbill","Fiordland Crested Penguin"
"2852","Fairy Tern","Blue Duck","Banded Dotterel","Antipodean Albatross","Kākāpō"
"2853","Fernbird","Bittern","Rifleman","Blue Duck","Morepork"
"2854","Yellow-eyed penguin","Blue Duck","Kākā","Kea","Tūī"
"2855","Tomtit","Rifleman","Rockhopper Penguin","Royal Spoonbill",NA
"2856","Yellow-eyed penguin",NA,NA,NA,NA
"2857","Gibson's Albatross","Orange-fronted Parakeet","Tūī","Antipodean Albatross","Kākā"
"2858","Harrier","Rifleman","Little Penguin","Silvereye","Mōhua"
"2859","Harrier","Black Robin","Black-billed Gull","Chatham Island Mollymawk","Chatham Island Oystercatcher"
"2860","Barn Owl","Yellow-eyed penguin","Silvereye","North Island Brown Kiwi","New Zealand Falcon"
"2861","Harrier","Kea","Kingfisher","Barn Owl","Little Spotted Kiwi"
"2862","Harrier","Southern Brown Kiwi","Antipodean Albatross","Banded Dotterel","Hutton's Shearwater"
"2863","Harrier","Black-billed Gull","Great Spotted Kiwi","Southern Brown Kiwi","Grey Duck"
"2864","Kererū","Barn Owl","New Zealand Falcon","Yellow-eyed penguin","North Island Brown Kiwi"
"2865","Black Robin","Harrier","Fiordland Crested Penguin","Rockhopper Penguin","Little Penguin"
"2866","South Island Pied Oystercatcher","Antipodean Albatross","Barn Owl","Kingfisher","Kākā"
"2867","Kea","Fairy Tern","Morepork","Silvereye","Little shag"
"2868","Harrier","Kea","Little Spotted Kiwi","Kākāpō","Morepork"
"2869","Kākāpō","Harrier","Southern Brown Kiwi","New Zealand Falcon","Fantail"
"2870","Gibson's Albatross","Royal Spoonbill","Rockhopper Penguin","Bittern","Banded Dotterel"
"2871","Fernbird","Kākāpō","Chatham Island Mollymawk","Yellow-eyed penguin","Tūī"
"2872","Orange-fronted Parakeet","Black Robin","Kākā","Little Spotted Kiwi","South Island Kōkako"
"2873","Mōhua","Great Spotted Kiwi","Spotted Shag","Barn Owl","New Zealand King Shag"
"2874","Yellow-eyed penguin",NA,NA,NA,NA
"2875","Mōhua","The Otago Shag","Orange-fronted Parakeet","Hutton's Shearwater","Black Robin"
"2876","Rock Wren","Black Petrel","Chatham Island Mollymawk","Chatham Island Oystercatcher","Little Spotted Kiwi"
"2877","Kererū","Barn Owl","Southern Brown Kiwi","Tūī",NA
"2878","Hutton's Shearwater","Kererū","Black Robin","Stitchbird","Harrier"
"2879","Kākāpō","Little Spotted Kiwi","Black Robin","Rifleman","Little Penguin"
"2880","Kea","Kākā","Kākāpō","Southern Brown Kiwi","Kererū"
"2881","Yellow-eyed penguin","Little Penguin","Orange-fronted Parakeet","Barn Owl","Antipodean Albatross"
"2882","Southern Brown Kiwi","Little Spotted Kiwi","North Island Brown Kiwi","Great Spotted Kiwi","Kea"
"2883","Antipodean Albatross","Hutton's Shearwater","Banded Dotterel","Shore Plover","South Island Kōkako"
"2884","Takahē","Blue Duck","Kākā","Morepork","Kākāpō"
"2885","South Island Kōkako","Southern Brown Kiwi","Black Robin","Black-billed Gull","Tūī"
"2886","Black Robin","Antipodean Albatross","Gibson's Albatross","South Island Kōkako","Chatham Island Mollymawk"
"2887","Black Robin","Whenua Hou Diving Petrel","Kākāpō","Harrier","Antipodean Albatross"
"2888","Spotted Shag","Southern Brown Kiwi","Kākā","Antipodean Albatross","Orange-fronted Parakeet"
"2889","Fairy Tern","Black Robin","Shore Plover","Whenua Hou Diving Petrel","Saddleback"
"2890","Kea","Kingfisher","Bar-tailed Godwit","Bellbird","South Island Kōkako"
"2891","Harrier","Black Petrel","Black Robin","Stitchbird","Fairy Tern"
"2892","Banded Dotterel","Shining Cuckoo","Silvereye","Shore Plover","Black Robin"
"2893","Stitchbird","Bellbird","Tūī","Kea","Kererū"
"2894","Black Robin","Bittern","Mōhua","New Zealand Dotterel","Black-billed Gull"
"2895","New Zealand Dabchick","Australasian Crested Grebe","Fiordland Crested Penguin","Spotted Shag","Black shag"
"2896","Antipodean Albatross","Fiordland Crested Penguin","Southern Brown Kiwi","Rockhopper Penguin","Yellow-eyed penguin"
"2897","Kākāpō","Kākā","Blue Duck","Black Robin","Barn Owl"
"2898","Kea","Tūī","Weka","Kākāpō","Morepork"
"2899","Kākāpō","South Island Kōkako","Kākā","Antipodean Albatross","Hutton's Shearwater"
"2900","Yellow-eyed penguin",NA,NA,NA,NA
"2901","Kererū","Kea","Harrier","Black Petrel","South Polar Skua"
"2902","Wrybill","Black Stilt","Stitchbird","Grey Warbler","New Zealand Dabchick"
"2903","Mōhua","North Island Brown Kiwi","Great Spotted Kiwi","Little Spotted Kiwi","Banded Dotterel"
"2904","Stitchbird","Blue Duck","Buller's Mollymawk","Tomtit","Tūī"
"2905","Weka","Antipodean Albatross","Bittern","New Zealand Falcon","Blue Duck"
"2906","Kākāpō","Kea","Harrier","New Zealand Falcon","Chatham Island Mollymawk"
"2907","Kākāpō","Kākā","Southern Brown Kiwi","New Zealand Dotterel","Hutton's Shearwater"
"2908","New Zealand Dotterel","Little Spotted Kiwi","Black Stilt","Black Robin","Southern Brown Kiwi"
"2909","Yellow-eyed penguin","Saddleback","New Zealand Robin","Little Penguin","Kingfisher"
"2910","Barn Owl","Tūī","Kererū","Morepork","Kea"
"2911","Yellow-eyed penguin","Blue Duck","Chatham Island Mollymawk","Kākāpō","Kākā"
"2912","Banded Dotterel","Bittern","Orange-fronted Parakeet","Mōhua","Black Robin"
"2913","Southern Brown Kiwi","Blue Duck","South Island Kōkako","Spotted Shag","Mōhua"
"2914","Rockhopper Penguin","Yellow-eyed penguin","Kākāpō","Antipodean Albatross","Orange-fronted Parakeet"
"2915","Mōhua","Black Robin","Little Spotted Kiwi","Tūī","New Zealand Dotterel"
"2916","Chatham Island Mollymawk","Rockhopper Penguin","Kingfisher","Bellbird","Barn Owl"
"2917","Spotted Shag","Tūī","Kererū","Rockhopper Penguin","Little shag"
"2918","Kākā","Antipodean Albatross","Banded Dotterel","Gibson's Albatross","South Island Kōkako"
"2919","Yellow-eyed penguin","Rockhopper Penguin","Chatham Island Mollymawk","Shore Plover","Kākāpō"
"2920","Salvin's Mollymawk","Hutton's Shearwater","Australasian Gannet","Kererū","Kākā"
"2921","Australasian Gannet","Bellbird","Arctic Skua","Australasian Crested Grebe","Black-billed Gull"
"2922","Southern Brown Kiwi","New Zealand Dotterel","Gibson's Albatross","Bittern","Black Stilt"
"2923","Fantail","Stitchbird","Rifleman","Tomtit","Kingfisher"
"2924","Morepork","Kererū","Bar-tailed Godwit","Little Penguin","New Zealand Falcon"
"2925","Wrybill","Black-fronted Tern","Pūkeko","Black Robin","Kererū"
"2926","Kingfisher","Barn Owl","Fantail","North Island Brown Kiwi","Welcome Swallow"
"2927","Little Spotted Kiwi","Kākā","Black-billed Gull","Black Robin","Kākāpō"
"2928","Yellow-eyed penguin","Rock Wren","Rifleman","Gibson's Albatross","New Zealand Dotterel"
"2929","Black Robin","New Zealand Dotterel","North Island Brown Kiwi","Kea","Little Spotted Kiwi"
"2930","Kererū","Kākā","Tūī","Bellbird","Kākāpō"
"2931","New Zealand Falcon","New Zealand Dabchick","New Zealand Dotterel","Black Petrel","Kea"
"2932","New Zealand Falcon","Black Robin","Kākā","Rockhopper Penguin","Antipodean Albatross"
"2933","New Zealand Robin","Tūī","Kererū","Kākāpō","Fantail"
"2934","Kererū","Southern Brown Kiwi","Fiordland Crested Penguin","Barn Owl","Stitchbird"
"2935","Black Robin","Weka","Kākā","Southern Brown Kiwi","Bellbird"
"2936","Mōhua","Fernbird","Great Spotted Kiwi","Tūī","Saddleback"
"2937","Kingfisher","New Zealand Falcon","Fantail","Kōkako","Silvereye"
"2938","Black Robin","Bittern","Blue Duck","Little Spotted Kiwi","Morepork"
"2939","Rifleman","Whenua Hou Diving Petrel","Black Robin","Black-billed Gull","Tūī"
"2940","Chatham Island Oystercatcher","Blue Duck","Kākāpō","Black Robin","Bittern"
"2941","Little Spotted Kiwi","Fiordland Crested Penguin","New Zealand Dabchick","Rockhopper Penguin","Rifleman"
"2942","New Zealand Dabchick","Yellow-eyed penguin","Rockhopper Penguin","Rifleman","Orange-fronted Parakeet"
"2943","Kākāpō","Takahē","Little Spotted Kiwi","Westland Petrel","Orange-fronted Parakeet"
"2944","Takahē","Brown Teal","Little Spotted Kiwi","Antipodean Albatross","Kākā"
"2945","Kākāpō","Kea","Little Spotted Kiwi","Yellow-eyed penguin","Campbell Black-Browed Albatross"
"2946","Antipodean Albatross","Hutton's Shearwater","Kākā","South Island Kōkako","Kākāpō"
"2947","Kererū","Orange-fronted Parakeet","Kea","Tūī","Kākā"
"2948","Antipodean Albatross","Hutton's Shearwater","Banded Dotterel","Kākāpō","Bittern"
"2949","South Island Kōkako","Black Stilt","Blue Duck","The Otago Shag","Chatham Island Oystercatcher"
"2950","Orange-fronted Parakeet","Kea","Kākāpō","Kākā","Morepork"
"2951","Kererū","Stitchbird","Silvereye","New Zealand Falcon","Harrier"
"2952","Fantail","Kākāpō","Kākā","Rifleman","Kea"
"2953","Spotted Shag","Tūī","Kea","Kererū","Kākā"
"2954","New Zealand Falcon","Kererū","Silvereye","Harrier","Stitchbird"
"2955","Mōhua","Tūī","New Zealand Falcon","Welcome Swallow","North Island Brown Kiwi"
"2956","New Zealand Falcon","North Island Brown Kiwi","Kea","Tūī","Kākā"
"2957","Great Spotted Kiwi","Little Spotted Kiwi","Rockhopper Penguin","North Island Brown Kiwi","Westland Petrel"
"2958","Little Penguin","Morepork","Kākā","Banded Dotterel","Tomtit"
"2959","Stitchbird","New Zealand Falcon","Spotted Shag","Little Penguin","Kea"
"2960","Tūī","Kōkako","Black Robin","Kākāpō","Kea"
"2961","Kākāpō","Kōkako","Little Penguin","Morepork","Stitchbird"
"2962","Welcome Swallow","New Zealand Robin","Rifleman","Stitchbird","New Zealand Dotterel"
"2963","Little Spotted Kiwi","Hutton's Shearwater","Mōhua","Kākāpō","Banded Dotterel"
"2964","Kererū","Kākāpō","New Zealand Falcon","Orange-fronted Parakeet","Harrier"
"2965","Yellow-eyed penguin",NA,NA,NA,NA
"2966","Yellow-eyed penguin","Whenua Hou Diving Petrel","Wrybill","Banded Dotterel","Rock Wren"
"2967","Bittern","Black Robin","Blue Duck","Chatham Island Mollymawk","Kingfisher"
"2968","Morepork","Pūkeko","Kingfisher","Kākāpō","Bellbird"
"2969","Antipodean Albatross","Mōhua","Fiordland Crested Penguin","The Otago Shag","Banded Dotterel"
"2970","New Zealand Dabchick","Orange-fronted Parakeet","Rifleman","Yellow-eyed penguin","Rockhopper Penguin"
"2971","Kea","Tūī","Kererū","Kingfisher","Kākāpō"
"2972","Kea","Southern Brown Kiwi","Little Spotted Kiwi","Shining Cuckoo","South Island Kōkako"
"2973","Great Spotted Kiwi","New Zealand Falcon","Australasian Gannet","Fantail","Mōhua"
"2974","Great Spotted Kiwi","New Zealand Falcon","Australasian Gannet","Fantail","Mōhua"
"2975","Kererū","Australasian Gannet","Tūī","New Zealand Falcon","Scaup"
"2976","Fantail","Kererū","Kākāpō","Yellow-eyed penguin","Kākā"
"2977","Royal Spoonbill","Saddleback","The Otago Shag","Fantail","Yellow-eyed penguin"
"2978","Grey Warbler","Kākā","Orange-fronted Parakeet","Saddleback","White Heron"
"2979","Fantail","New Zealand Falcon","Kingfisher","Kōkako","Rifleman"
"2980","Kākāpō","Banded Dotterel","Black Robin","New Zealand Dotterel","Fairy Tern"
"2981","Takahē","Kākāpō","Little Spotted Kiwi","Great Spotted Kiwi","Weka"
"2982","Rockhopper Penguin","Black Stilt","Stitchbird","Tomtit","Pūkeko"
"2983","Yellow-eyed penguin","Blue Duck","Black Stilt","The Otago Shag","Bittern"
"2984","Great Spotted Kiwi","Black Robin","Little Penguin","Tūī","Pied Shag"
"2985","Bar-tailed Godwit","Bittern","Kākāpō","Antipodean Albatross","Hutton's Shearwater"
"2986","Royal Spoonbill","Takahē","Morepork","New Zealand Dabchick","South Island Pied Oystercatcher"
"2987","Fantail","Tūī","Kōkako","Morepork","Saddleback"
"2988","Yellow-eyed penguin","White Heron","Harrier","Rifleman","Fernbird"
"2989","Antipodean Albatross","Harrier","Kea","Kākā","Kākāpō"
"2990","Kea","Kākāpō","Fiordland Crested Penguin","Orange-fronted Parakeet","Barn Owl"
"2991","Fantail","New Zealand Falcon","Banded Dotterel","Barn Owl","Black Robin"
"2992","Shining Cuckoo","Kōkako","Bittern","Morepork","Blue Duck"
"2993","Southern Brown Kiwi","Tūī","Blue Duck","Antipodean Albatross","Little Spotted Kiwi"
"2994","Kōkako","Kea","Weka","New Zealand Dabchick","Mōhua"
"2995","Little Penguin","Fiordland Crested Penguin","Rockhopper Penguin","Yellow-eyed penguin","Whenua Hou Diving Petrel"
"2996","Stitchbird","Tūī","Kākāpō","Kea","Kākā"
"2997","Tūī","Rifleman","Morepork","Orange-fronted Parakeet","Fantail"
"2998","Yellow-eyed penguin","Blue Duck","Chatham Island Oystercatcher","Kingfisher","Antipodean Albatross"
"2999","Black-billed Gull","Fernbird","New Zealand Falcon","Fiordland Crested Penguin","Rockhopper Penguin"
"3000","Mōhua","New Zealand Dabchick","South Polar Skua","Fernbird","New Zealand Robin"
"3001","Fiordland Crested Penguin","Rockhopper Penguin","Australasian Crested Grebe","Banded Dotterel","Tomtit"
"3002","Fantail","Australasian Crested Grebe","New Zealand Falcon","Harrier","Kererū"
"3003","Mōhua","Black Robin","Kākā","Kākāpō","South Island Kōkako"
"3004","Orange-fronted Parakeet","South Island Pied Oystercatcher","Kōkako","Little Penguin","South Island Kōkako"
"3005","Southern Brown Kiwi","Southern Royal Albatross","Spotless Crake","Spotted Shag","Takahē"
"3006","Tūī","North Island Brown Kiwi","Kererū","Rifleman","Fantail"
"3007","Blue Duck","Rockhopper Penguin","Kākāpō","Kākā","Orange-fronted Parakeet"
"3008","Antipodean Albatross","Banded Dotterel","Shore Plover","South Island Kōkako","Southern Brown Kiwi"
"3009","Fairy Tern","Orange-fronted Parakeet","Yellow-eyed penguin","Gibson's Albatross","Chatham Island Oystercatcher"
"3010","Yellow-eyed penguin","Little Penguin","Fiordland Crested Penguin","Rockhopper Penguin","Banded Dotterel"
"3011","Antipodean Albatross","Banded Dotterel","Black-billed Gull","Buller's Mollymawk","Gibson's Albatross"
"3012","New Zealand Dotterel","Fernbird","Mōhua","Fiordland Crested Penguin","Gibson's Albatross"
"3013","Yellow-eyed penguin","New Zealand Dabchick","Silvereye","New Zealand Falcon","Rifleman"
"3014","Fantail","New Zealand Falcon","Rockhopper Penguin","Blue Duck","South Island Kōkako"
"3015","Yellow-eyed penguin","New Zealand Dotterel","Blue Duck","Black Robin","Southern Brown Kiwi"
"3016","Black Robin","Morepork","Salvin's Mollymawk","Yellow-eyed penguin","Silvereye"
"3017","Banded Dotterel","Kea","Shore Plover","Kākā","Bittern"
"3018","Banded Dotterel","Bittern","Rifleman","Black Stilt","Fairy Tern"
"3019","Yellow-eyed penguin","Chatham Island Mollymawk","Kākā","Kea","Orange-fronted Parakeet"
"3020","Fiordland Crested Penguin","Rockhopper Penguin","Yellow-eyed penguin","Blue Duck","Fantail"
"3021","Fantail","Southern Brown Kiwi","New Zealand Dotterel","Tūī","Yellow-eyed penguin"
"3022","Kea","Kākāpō","Salvin's Mollymawk","Yellow-eyed penguin","Wrybill"
"3023","Grey Warbler","Kōkako","Bellbird","Morepork","Tūī"
"3024","Bellbird","Mōhua","Saddleback","Rockhopper Penguin","Little Penguin"
"3025","Black Robin","Saddleback","Fernbird","Rock Wren","Black Petrel"
"3026","Yellow-eyed penguin","Black Robin","Antipodean Albatross","Blue Duck","Bar-tailed Godwit"
"3027","Banded Dotterel","Little Spotted Kiwi","Antipodean Albatross","Black Robin","Kākā"
"3028","Yellow-eyed penguin","Kākāpō","Kākā","Kererū","Fantail"
"3029","Saddleback","Kōkako","Stitchbird","Tomtit","Welcome Swallow"
"3030","Yellow-eyed penguin","Tūī","New Zealand Falcon","Kākāpō","Antipodean Albatross"
"3031","Fairy Tern","New Zealand Dotterel","Yellow-eyed penguin","Kākāpō","Saddleback"
"3032","Antipodean Albatross","New Zealand Falcon","Bar-tailed Godwit","Bittern","Kererū"
"3033","Wrybill","Yellow-eyed penguin","Kākāpō","Takahē","Bar-tailed Godwit"
"3034","Banded Dotterel","Kākā","Rockhopper Penguin","Yellow-eyed penguin","Black Robin"
"3035","Kākāpō","Black Robin","Harrier","Banded Dotterel","New Zealand Dotterel"
"3036","Blue Duck","Grey Warbler","Saddleback","Black Stilt","Rock Wren"
"3037","Little Spotted Kiwi","Northern Royal Albatross","Barn Owl","Blue Duck","Rifleman"
"3038","Saddleback","Bellbird","Kōkako","Stitchbird","South Island Kōkako"
"3039","Blue Duck",NA,NA,NA,NA
"3040","Yellow-eyed penguin",NA,NA,NA,NA
"3041","Yellow-eyed penguin","Royal Spoonbill","Kingfisher","Grey Warbler","Great Spotted Kiwi"
"3042","Rockhopper Penguin","Tūī","Kererū","Fantail","Kākā"
"3043","Antipodean Albatross","Fiordland Crested Penguin","Gibson's Albatross","Rockhopper Penguin","Southern Royal Albatross"
"3044","Kākāpō","New Zealand Dotterel","Southern Brown Kiwi","Shore Plover","Orange-fronted Parakeet"
"3045","Black-billed Gull","Harrier","Bar-tailed Godwit","New Zealand Dotterel","Wrybill"
"3046","Saddleback","South Island Kōkako","Kākāpō","Tomtit","Wrybill"
"3047","Black-billed Gull","Kererū","Kōkako","Little Penguin","South Island Kōkako"
"3048","Saddleback","Kākāpō","Black-billed Gull","Fiordland Crested Penguin","Gibson's Albatross"
"3049","New Zealand Falcon","Fiordland Crested Penguin","Orange-fronted Parakeet","Rockhopper Penguin","Kākāpō"
"3050","Yellow-eyed penguin",NA,NA,NA,NA
"3051","Black Robin","Kākāpō","Mōhua","New Zealand Falcon","Fantail"
"3052","Yellow-eyed penguin","Kākāpō","New Zealand Dabchick","Orange-fronted Parakeet","Northern Royal Albatross"
"3053","Rock Wren","Kākā","Buller's Mollymawk","New Zealand Falcon","Saddleback"
"3054","Black Robin","Southern Brown Kiwi","Fiordland Crested Penguin","Orange-fronted Parakeet","Fantail"
"3055","Barn Owl","Mōhua","Fairy Tern","Gibson's Albatross","Orange-fronted Parakeet"
"3056","Yellow-eyed penguin","Mōhua","Fernbird","Banded Dotterel","White Heron"
"3057","New Zealand Falcon","Harrier","Australasian Crested Grebe","Barn Owl","Tomtit"
"3058","New Zealand Dabchick","Australasian Crested Grebe","Fiordland Crested Penguin","Morepork","South Island Kōkako"
"3059","Morepork","Weka","Yellow-eyed penguin","Silvereye","Kākā"
"3060","Yellow-eyed penguin","New Zealand Falcon","Mōhua","Kākā","Banded Dotterel"
"3061","Fiordland Crested Penguin","Fantail","Rockhopper Penguin","Yellow-eyed penguin","Tūī"
"3062","Tūī","Kākā","Morepork","Fantail","Yellow-eyed penguin"
"3063","Antipodean Albatross","Kākāpō","Little Spotted Kiwi","North Island Brown Kiwi","Southern Brown Kiwi"
"3064","Morepork","Harrier","Barn Owl","Kea","Banded Dotterel"
"3065","Morepork","Rifleman","Barn Owl","Saddleback","Silvereye"
"3066","Yellow-eyed penguin","Black Stilt","Blue Duck","Orange-fronted Parakeet","Little Spotted Kiwi"
"3067","Black Robin","Kākāpō","New Zealand Dotterel","Southern Brown Kiwi","Fiordland Crested Penguin"
"3068","Orange-fronted Parakeet","Yellow-eyed penguin","Morepork","Little shag","Chatham Island Oystercatcher"
"3069","Rockhopper Penguin","New Zealand Robin","Fantail","Little shag","Yellow-eyed penguin"
"3070","Kea","Kākāpō","Pūkeko","Kererū","Takahē"
"3071","Kākāpō",NA,NA,NA,NA
"3072","North Island Brown Kiwi","Blue Duck","Little Penguin","Little shag","Scaup"
"3073","Orange-fronted Parakeet","Bellbird","Kererū","Rock Wren","Campbell Black-Browed Albatross"
"3074","Yellow-eyed penguin",NA,NA,NA,NA
"3075","North Island Brown Kiwi","Rockhopper Penguin","Yellow-eyed penguin","Grey Warbler","Whitehead"
"3076","New Zealand Dotterel","Banded Dotterel","Yellow-eyed penguin","Grey Warbler","Kingfisher"
"3077","Yellow-eyed penguin","Kea","New Zealand Falcon","Royal Spoonbill","Pūkeko"
"3078","Weka","Variable Oystercatcher","Kererū","Tūī","Royal Spoonbill"
"3079","Fernbird","Rifleman","Fairy Tern","Mōhua","Blue Duck"
"3080","Weka","Variable Oystercatcher","Kererū","Little Penguin","Royal Spoonbill"
"3081","New Zealand Dabchick","New Zealand Falcon","Rifleman","White Heron","Shining Cuckoo"
"3082","Yellow-eyed penguin","Morepork","Wrybill","Saddleback","Blue Duck"
"3083","Takahē","Antipodean Albatross","Great Spotted Kiwi","Kea","Kākāpō"
"3084","Kākāpō","Barn Owl","New Zealand Falcon","Fiordland Crested Penguin","Southern Brown Kiwi"
"3085","Fairy Tern","Bar-tailed Godwit","Black-billed Gull","Blue Duck","Banded Dotterel"
