"","id","day","airline","destination","dest_region","dest_size","boarding_area","dept_time","wait_min","cleanliness","safety","satisfaction"
"1759",1310,"Tuesday","UNITED INTL","LONDON HEATHROW","Europe","Hub","Gates 91-102","2018-12-31",180,"Somewhat clean","Very safe","Very satisfied"
"1760",2633,"Tuesday","UNITED","CHICAGO-O'HARE","Midwest US","Hub","Gates 60-69","2018-12-31",150,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1761",378,"Friday","ALASKA","SAN JOSE DEL CABO","Canada/Mexico","Small","Gates 50-59","2018-12-31",135,"Clean","Somewhat safe","Somewhat satsified"
"1762",2201,"Thursday","SOUTHWEST","LAS VEGAS","West US","Hub","Gates 20-39","2018-12-31",165,"Clean","Very safe","Somewhat satsified"
"1763",3221,"Thursday","AMERICAN","LOS ANGELES","West US","Hub","Gates 50-59","2018-12-31",75,"Clean","Very safe","Somewhat satsified"
"1764",1491,"Wednesday","HAWAIIAN AIR","HONOLULU","West US","Medium","Gates 1-12","2018-12-31",150,"Somewhat clean","Somewhat safe","Very satisfied"
"1765",2228,"Wednesday","AER LINGUS","DUBLIN","Europe","Large","Gates 91-102","2018-12-31",225,"Somewhat clean","Very safe","Somewhat satsified"
"1766",2470,"Tuesday","UNITED","HONOLULU","West US","Medium","Gates 70-90","2018-12-31",NA,"Somewhat clean","Very safe","Somewhat satsified"
"1767",2419,"Wednesday","AIR NEW ZEALAND","AUCKLAND","Australia/New Zealand","Medium","Gates 91-102","2018-12-31",155,"Clean","Very safe","Somewhat satsified"
"1768",2767,"Wednesday","UNITED","AUSTIN","Midwest US","Medium","Gates 70-90","2018-12-31",165,"Somewhat clean","Very safe","Somewhat satsified"
"1769",2639,"Tuesday","UNITED","CHICAGO-O'HARE","Midwest US","Hub","Gates 60-69","2018-12-31",90,"Clean","Very safe","Somewhat satsified"
"1770",301,"Wednesday","SOUTHWEST","LOS ANGELES","West US","Hub","Gates 20-39","2018-12-31",94.9999999999999,"Average","Somewhat safe","Somewhat satsified"
"1771",2972,"Wednesday","AMERICAN","CHARLOTTE","East US","Hub","Gates 50-59","2018-12-31",120,"Somewhat clean","Neutral","Very satisfied"
"1772",1631,"Thursday","KOREAN AIR","SEOUL","Asia","Hub","Gates 1-12","2018-12-31",265,"Clean","Very safe",NA
"1773",1994,"Tuesday","UNITED","BALTIMORE","East US","Medium","Gates 60-69","2018-12-31",215,"Somewhat clean","Very safe","Somewhat satsified"
"1774",310,"Tuesday","UNITED","WASHINGTON DC-DULLES","East US","Medium","Gates 70-90","2018-12-31",95.0000000000001,"Clean","Very safe","Somewhat satsified"
"1775",333,"Friday","ALASKA","SAN DIEGO","West US","Medium","Gates 50-59","2018-12-31",66,"Clean","Somewhat safe","Somewhat satsified"
"1776",1465,"Wednesday","FRONTIER","DENVER","West US","Hub","Gates 20-39","2018-01-01",299,"Clean","Neutral","Very satisfied"
"1777",482,"Sunday","UNITED","DENVER","West US","Hub","Gates 70-90","2018-12-31",341,"Average","Very safe","Somewhat satsified"
"1778",1701,"Sunday","AIR FRANCE/KLM","PARIS-DE GAULLE","Europe","Hub","Gates 1-12","2018-12-31",180,"Average","Somewhat safe","Neutral"
"1779",439,"Sunday","UNITED","HONOLULU","West US","Medium","Gates 70-90","2018-12-31",NA,"Somewhat clean","Somewhat safe","Very satisfied"
"1780",1697,"Sunday","ALASKA","SANTA ANA","West US","Medium","Gates 50-59","2018-12-31",247,"Somewhat clean","Very safe","Somewhat satsified"
"1781",1829,"Sunday","ALASKA","RALEIGH-DURHAM","East US","Medium","Gates 50-59","2018-12-31",205,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1782",1146,"Tuesday","SOUTHWEST","LOS ANGELES","West US","Hub","Gates 20-39","2018-12-31",70.0000000000001,"Clean","Somewhat safe","Somewhat satsified"
"1783",2641,"Tuesday","UNITED","CHICAGO-O'HARE","Midwest US","Hub","Gates 60-69","2018-12-31",90,"Clean","Very safe","Somewhat satsified"
"1784",3004,"Wednesday","AMERICAN","MIAMI","East US","Hub","Gates 50-59","2018-12-31",118,"Clean","Somewhat safe","Very satisfied"
"1785",2800,"Thursday","DELTA","SALT LAKE CITY","West US","Medium","Gates 40-48","2018-12-31",155,"Somewhat clean","Somewhat safe","Neutral"
"1786",3052,"Tuesday","AMERICAN","MIAMI","East US","Hub","Gates 50-59","2018-12-31",125,"Clean","Somewhat safe","Somewhat satsified"
"1787",234,"Wednesday","AMERICAN","LOS ANGELES","West US","Hub","Gates 50-59","2018-12-31",100,"Somewhat clean","Very safe","Somewhat satsified"
"1788",1190,"Tuesday","SOUTHWEST","LAS VEGAS","West US","Hub","Gates 20-39","2018-12-31",75.0000000000001,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1789",1361,"Tuesday","UNITED INTL","KANSAI","Asia","Hub","Gates 91-102","2018-12-31",155,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1790",1861,"Sunday","ALASKA","KAHULUI","West US","Small","Gates 50-59","2018-12-31",145,"Somewhat clean","Very safe","Somewhat satsified"
"1791",2555,"Tuesday","JETBLUE","LONG BEACH","West US","Small","Gates 1-12","2018-12-31",60,"Somewhat clean","Very safe","Somewhat satsified"
"1792",1054,"Friday","AIR CANADA","CALGARY","Canada/Mexico","Medium","Gates 91-102","2018-12-31",175,"Clean","Very safe","Very satisfied"
"1793",1057,"Friday","AIR CANADA","CALGARY","Canada/Mexico","Medium","Gates 91-102","2018-12-31",295,"Clean","Somewhat safe","Somewhat satsified"
"1794",2785,"Sunday","WOW","REYKJAVIK","Europe","Small","Gates 1-12","2018-12-31",195,"Somewhat clean","Very safe","Somewhat satsified"
"1795",777,"Thursday","UNITED INTL","SAN JOSE DEL CABO","Canada/Mexico","  Small  ","Gates 91-102","2018-12-31",443,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1796",606,"Thursday","JETBLUE","BOSTON","East US","Large","Gates 1-12","2018-12-31",132,"Clean","Somewhat safe","Neutral"
"1797",307,"Wednesday","SOUTHWEST","LOS ANGELES","West US","Hub","Gates 20-39","2018-12-31",60,"Somewhat clean","Neutral","Somewhat satsified"
"1798",1394,"Tuesday","UNITED INTL","PARIS-DE GAULLE","Europe","Hub","Gates 91-102","2018-12-31",195,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1799",2611,"Saturday","AEROMEXICO","MEXICO CITY","Canada/Mexico","Hub","Gates 1-12","2018-12-31",120,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1800",1636,"Thursday","KOREAN AIR","SEOUL","Asia","Hub","Gates 1-12","2018-12-31",195,"Clean","Very safe","Somewhat satsified"
"1801",2115,"Monday","UNITED INTL","MEXICO CITY","Canada/Mexico","Hub","Gates 91-102","2018-12-31",370,"Somewhat clean","Very safe","Somewhat satsified"
"1802",236,"Wednesday","AMERICAN","LOS ANGELES","West US","Hub","Gates 50-59","2018-12-31",115,"Average","Somewhat safe","Neutral"
