"","continent","country_code","country_name"
"222","Africa","SWZ","Swaziland, Kingdom of"
"223","Europe","SWE","Sweden, Kingdom of"
"224","Europe","CHE","Switzerland, Swiss Confederation"
"225","Asia","SYR","Syrian Arab Republic"
"226","Asia","TJK","Tajikistan, Republic of"
"227","Asia","THA","Thailand, Kingdom of"
"228","Africa","TGO","Togo, Togolese Republic"
"229","Oceania","TKL","Tokelau"
"230","Oceania","TON","Tonga, Kingdom of"
"231","North America","TTO","Trinidad and Tobago, Republic of"
"232","Asia","ARE","United Arab Emirates"
"233","Africa","TUN","Tunisia, Tunisian Republic"
"234","Europe","TUR","Turkey, Republic of"
"235","Asia","TUR","Turkey, Republic of"
"236","Asia","TKM","Turkmenistan"
"237","North America","TCA","Turks and Caicos Islands"
"238","Oceania","TUV","Tuvalu"
"239","Africa","UGA","Uganda, Republic of"
"240","Europe","UKR","Ukraine"
"241","Europe","MKD","Macedonia, The Former Yugoslav Republic of"
"242","Africa","EGY","Egypt, Arab Republic of"
"243","Europe","GBR","United Kingdom of Great Britain & Northern Ireland"
"244","Europe","GGY","Guernsey, Bailiwick of"
"245","Europe","JEY","Jersey, Bailiwick of"
"246","Europe","IMN","Isle of Man"
"247","Africa","TZA","Tanzania, United Republic of"
"248","North America","USA","United States of America"
"249","North America","VIR","United States Virgin Islands"
"250","Africa","BFA","Burkina Faso"
"251","South America","URY","Uruguay, Eastern Republic of"
"252","Asia","UZB","Uzbekistan, Republic of"
"253","South America","VEN","Venezuela, Bolivarian Republic of"
"254","Oceania","WLF","Wallis and Futuna"
"255","Oceania","WSM","Samoa, Independent State of"
"256","Asia","YEM","Yemen"
"257","Africa","ZMB","Zambia, Republic of"
"258","Oceania",NA,"Disputed Territory"
