"branch","component","sex","weight_kg","waist_circum_m","stature_m"
"Combat Service Support","Regular Army","Female",73.9,0.958,1.604
"Combat Arms","Regular Army","Female",56,0.767,1.54
"Combat Service Support","Regular Army","Female",64.7,0.777,1.638
"Combat Service Support","Regular Army","Female",72.4,0.896,1.656
"Combat Service Support","Regular Army","Female",70.8,0.968,1.597
"Combat Support","Regular Army","Female",95.3,0.997,1.749
"Combat Support","Regular Army","Female",74.8,0.879,1.661
"Combat Support","Regular Army","Female",70,1,1.526
"Combat Support","Regular Army","Female",65.5,0.931,1.583
"Combat Support","Army National Guard","Female",49.9,0.748,1.533
"Combat Support","Regular Army","Female",55.3,0.734,1.575
"Combat Service Support","Regular Army","Female",92.4,1.021,1.776
"Combat Support","Army Reserve","Female",71.6,0.874,1.713
"Combat Support","Army Reserve","Female",67.6,0.803,1.653
"Combat Service Support","Army Reserve","Female",64.1,0.935,1.516
"Combat Support","Regular Army","Female",66.6,0.81,1.658
"Combat Support","Regular Army","Female",66.3,0.882,1.617
"Combat Support","Regular Army","Female",76.3,0.92,1.687
"Combat Service Support","Regular Army","Female",71.7,1.085,1.603
"Combat Service Support","Army Reserve","Female",64.3,0.923,1.539
"Combat Service Support","Army Reserve","Female",59.1,0.84,1.603
"Combat Service Support","Regular Army","Female",52.9,0.783,1.62
"Combat Service Support","Army Reserve","Female",69.4,0.924,1.617
"Combat Support","Army Reserve","Female",69.9,0.972,1.6
"Combat Service Support","Army Reserve","Female",59.2,0.774,1.572
"Combat Support","Army Reserve","Female",54,0.708,1.632
"Combat Support","Army National Guard","Female",70.1,0.879,1.69
"Combat Service Support","Army Reserve","Female",68.1,0.83,1.682
"Combat Service Support","Army Reserve","Female",86.4,0.98,1.657
"Combat Service Support","Army Reserve","Female",67.2,0.883,1.672
"Combat Service Support","Army Reserve","Female",55.9,0.754,1.621
"Combat Service Support","Army Reserve","Female",56.6,0.767,1.623
"Combat Service Support","Army Reserve","Female",58.5,0.868,1.633
"Combat Support","Army Reserve","Female",62.8,0.938,1.526
"Combat Service Support","Army Reserve","Female",46.7,0.682,1.57
"Combat Service Support","Army Reserve","Female",59.9,0.762,1.616
"Combat Service Support","Army Reserve","Female",64.2,0.802,1.69
"Combat Service Support","Army Reserve","Female",81.3,1.06,1.637
"Combat Service Support","Army Reserve","Female",71.9,0.922,1.718
"Combat Support","Army Reserve","Female",54.8,0.783,1.588
"Combat Service Support","Army Reserve","Female",48.5,0.707,1.52
"Combat Service Support","Army Reserve","Female",65.8,0.795,1.618
"Combat Support","Army Reserve","Female",75.3,0.862,1.631
"Combat Service Support","Army Reserve","Female",63.6,0.929,1.642
"Combat Service Support","Army Reserve","Female",75.2,0.858,1.719
"Combat Service Support","Army Reserve","Female",75.5,0.784,1.715
"Combat Service Support","Army Reserve","Female",46.9,0.632,1.653
"Combat Service Support","Army Reserve","Female",53.7,0.809,1.59
