"branch","component","sex","weight_kg","waist_circum_m","stature_m"
"Combat Arms","Regular Army","Male",86.1,1.012,1.649
"Combat Arms","Regular Army","Male",83.5,0.97,1.705
"Combat Arms","Regular Army","Male",99.4,0.999,1.836
"Combat Service Support","Regular Army","Male",64.5,0.779,1.825
"Combat Arms","Regular Army","Male",61.3,0.715,1.653
"Combat Arms","Regular Army","Male",70.8,0.865,1.72
"Combat Service Support","Regular Army","Male",88.9,1.026,1.708
"Combat Arms","Regular Army","Male",83.6,0.99,1.725
"Combat Arms","Regular Army","Male",118,1.13,1.835
"Combat Arms","Regular Army","Male",85.9,0.975,1.728
"Combat Arms","Regular Army","Male",89.2,0.953,1.748
"Combat Arms","Regular Army","Male",75.1,0.83,1.805
"Combat Arms","Regular Army","Male",77.8,0.917,1.735
"Combat Arms","Regular Army","Male",83.1,0.95,1.687
"Combat Arms","Regular Army","Male",74.9,0.88,1.71
"Combat Arms","Regular Army","Male",63,0.715,1.786
"Combat Arms","Regular Army","Male",88,0.891,1.751
"Combat Arms","Regular Army","Male",72.2,0.848,1.75
"Combat Arms","Regular Army","Male",62.1,0.767,1.758
"Combat Arms","Regular Army","Male",75,0.86,1.785
"Combat Service Support","Regular Army","Male",96.9,1.069,1.763
"Combat Arms","Regular Army","Male",85.4,0.971,1.708
"Combat Arms","Regular Army","Male",90.7,0.981,1.763
"Combat Arms","Regular Army","Male",85.8,0.949,1.75
"Combat Arms","Regular Army","Male",86.6,1.055,1.71
"Combat Arms","Regular Army","Male",92.7,0.98,1.803
"Combat Arms","Regular Army","Male",91,1.009,1.725
"Combat Arms","Regular Army","Male",94.2,1.018,1.817
"Combat Arms","Regular Army","Male",73.6,0.947,1.723
"Combat Arms","Regular Army","Male",66.6,0.899,1.598
"Combat Support","Regular Army","Male",78.4,0.805,1.717
"Combat Arms","Regular Army","Male",120.8,1.189,1.737
"Combat Arms","Regular Army","Male",99.9,1.127,1.814
"Combat Arms","Regular Army","Male",80.4,0.951,1.721
"Combat Arms","Regular Army","Male",95.1,1.003,1.818
"Combat Arms","Regular Army","Male",88,0.946,1.735
"Combat Arms","Regular Army","Male",75.7,0.864,1.76
"Combat Arms","Regular Army","Male",81.9,0.939,1.793
"Combat Arms","Regular Army","Male",97.2,1.051,1.722
"Combat Arms","Regular Army","Male",94.5,1.01,1.85
"Combat Arms","Regular Army","Male",91.2,0.947,1.719
"Combat Arms","Regular Army","Male",76.1,0.784,1.74
"Combat Arms","Regular Army","Male",90.2,1.007,1.731
"Combat Arms","Regular Army","Male",81.3,0.873,1.842
"Combat Arms","Regular Army","Male",106.6,1.056,1.8
"Combat Arms","Regular Army","Male",78.2,0.918,1.71
"Combat Arms","Regular Army","Male",101.8,1.031,1.803
"Combat Arms","Regular Army","Male",81.8,0.867,1.8
"Combat Arms","Regular Army","Male",84.7,0.919,1.744
"Combat Arms","Regular Army","Male",100.5,0.997,1.735
"Combat Arms","Regular Army","Male",92.5,1.07,1.706
"Combat Arms","Regular Army","Male",65.1,0.797,1.687
"Combat Arms","Regular Army","Male",86.7,0.938,1.803
"Combat Arms","Regular Army","Male",86.7,0.845,1.897
"Combat Arms","Regular Army","Male",91.4,0.945,1.768
"Combat Arms","Regular Army","Male",77.1,0.977,1.652
"Combat Arms","Regular Army","Male",63.5,0.753,1.749
"Combat Arms","Regular Army","Male",87.2,1.002,1.772
"Combat Arms","Regular Army","Male",89.4,1,1.788
"Combat Arms","Regular Army","Male",86.6,0.881,1.833
"Combat Arms","Regular Army","Male",82.9,0.907,1.76
"Combat Arms","Regular Army","Male",60.7,0.8,1.662
"Combat Arms","Regular Army","Male",102.9,1.039,1.899
"Combat Arms","Regular Army","Male",68.1,0.816,1.7
"Combat Arms","Regular Army","Male",88.9,0.897,1.923
"Combat Arms","Regular Army","Male",71.6,0.815,1.782
"Combat Arms","Regular Army","Male",81.6,0.961,1.773
"Combat Arms","Regular Army","Male",88.5,1.022,1.779
"Combat Arms","Regular Army","Male",86.3,1,1.718
"Combat Arms","Regular Army","Male",94.2,1.025,1.744
"Combat Arms","Regular Army","Male",95.8,1.007,1.761
"Combat Arms","Regular Army","Male",62.5,0.777,1.722
"Combat Arms","Regular Army","Male",77.2,0.845,1.814
"Combat Arms","Regular Army","Male",72.2,0.799,1.786
"Combat Arms","Regular Army","Male",97.5,1.098,1.659
"Combat Arms","Regular Army","Male",87.9,0.956,1.711
"Combat Arms","Regular Army","Male",107.1,1.134,1.647
"Combat Arms","Regular Army","Male",87.2,0.926,1.71
"Combat Arms","Regular Army","Male",74.2,0.815,1.805
"Combat Arms","Regular Army","Male",64.9,0.789,1.671
"Combat Arms","Regular Army","Male",65.4,0.811,1.735
"Combat Arms","Regular Army","Male",87.1,0.958,1.758
"Combat Arms","Regular Army","Male",94.2,0.996,1.804
"Combat Arms","Regular Army","Male",83.7,0.983,1.731
"Combat Arms","Regular Army","Male",74.5,0.803,1.779
"Combat Service Support","Regular Army","Male",108.7,1.038,1.852
"Combat Service Support","Regular Army","Male",101.9,1.078,1.725
"Combat Support","Regular Army","Male",90.6,1.035,1.768
"Combat Service Support","Regular Army","Male",83.1,0.999,1.709
"Combat Support","Regular Army","Male",86.2,1.02,1.74
"Combat Support","Regular Army","Male",101.4,1.088,1.836
"Combat Support","Regular Army","Male",92.6,1.014,1.747
"Combat Service Support","Regular Army","Male",80.8,0.836,1.725
"Combat Service Support","Regular Army","Male",97.2,1.08,1.745
"Combat Service Support","Regular Army","Male",82.3,1.006,1.736
"Combat Support","Regular Army","Male",65.9,0.779,1.825
"Combat Service Support","Army National Guard","Male",87.8,0.95,1.742
"Combat Arms","Army National Guard","Male",91.8,0.925,1.793
"Combat Arms","Army National Guard","Male",111.4,1.214,1.747
"Combat Arms","Army National Guard","Male",74,0.801,1.743
"Combat Service Support","Army National Guard","Male",94.9,0.972,1.832
"Combat Service Support","Regular Army","Male",69.8,0.772,1.708
"Combat Service Support","Regular Army","Male",96.8,0.988,1.802
"Combat Service Support","Regular Army","Male",88.3,0.976,1.757
"Combat Service Support","Regular Army","Male",98.2,0.983,1.861
"Combat Support","Regular Army","Male",79.3,0.859,1.8
"Combat Service Support","Regular Army","Male",91.8,1.063,1.708
"Combat Arms","Army National Guard","Male",90,1.031,1.774
"Combat Arms","Army National Guard","Male",100.9,1.051,1.723
"Combat Arms","Army National Guard","Male",62.5,0.748,1.828
"Combat Arms","Army National Guard","Male",116.1,1.136,1.808
"Combat Arms","Regular Army","Male",68.3,0.775,1.683
"Combat Arms","Regular Army","Male",65.2,0.74,1.736
"Combat Service Support","Army National Guard","Male",80.8,0.915,1.722
"Combat Arms","Army National Guard","Male",103.4,1.051,1.761
"Combat Service Support","Army National Guard","Male",107.7,1.207,1.814
"Combat Arms","Army National Guard","Male",73.7,0.802,1.815
"Combat Arms","Army National Guard","Male",95.9,1.116,1.8
"Combat Arms","Army National Guard","Male",86.7,1.042,1.822
"Combat Service Support","Army National Guard","Male",77.6,0.918,1.654
"Combat Arms","Army National Guard","Male",92.7,1.124,1.621
"Combat Service Support","Army National Guard","Male",78.3,0.912,1.716
"Combat Arms","Army National Guard","Male",86.2,1.072,1.644
"Combat Support","Regular Army","Male",96,1.042,1.682
"Combat Arms","Regular Army","Male",60.9,0.756,1.651
"Combat Arms","Regular Army","Male",90.4,1.003,1.704
"Combat Arms","Regular Army","Male",80.3,0.886,1.784
"Combat Service Support","Regular Army","Male",75,0.911,1.64
"Combat Support","Regular Army","Male",70.8,0.815,1.688
"Combat Arms","Regular Army","Male",80.3,0.891,1.795
"Combat Arms","Regular Army","Male",68.1,0.765,1.839
"Combat Support","Army National Guard","Male",84,1.041,1.71
"Combat Service Support","Army National Guard","Male",92.9,1.054,1.73
"Combat Support","Army National Guard","Male",97.5,1.152,1.669
"Combat Service Support","Army National Guard","Male",110.8,1.107,1.782
"Combat Support","Army National Guard","Male",80.1,0.908,1.745
"Combat Service Support","Army National Guard","Male",86.6,1.018,1.655
"Combat Service Support","Army National Guard","Male",97.9,0.995,1.803
"Combat Service Support","Army National Guard","Male",116.4,1.358,1.735
"Combat Service Support","Army National Guard","Male",97.7,1.067,1.729
"Combat Service Support","Army National Guard","Male",79.3,0.845,1.738
"Combat Service Support","Army National Guard","Male",85.5,0.934,1.78
"Combat Service Support","Army National Guard","Male",81.8,0.901,1.836
"Combat Service Support","Army National Guard","Male",92.1,1.091,1.722
"Combat Service Support","Army National Guard","Male",114,1.1,1.907
"Combat Service Support","Army National Guard","Male",88.2,1.013,1.639
"Combat Service Support","Army National Guard","Male",87.8,0.895,1.784
"Combat Service Support","Army National Guard","Male",87.4,0.972,1.657
"Combat Service Support","Army National Guard","Male",73.4,0.932,1.743
"Combat Service Support","Army National Guard","Male",99.9,1.05,1.763
"Combat Service Support","Army Reserve","Male",90.2,1.047,1.688
"Combat Service Support","Army National Guard","Male",88.2,0.975,1.751
"Combat Service Support","Army National Guard","Male",85.7,0.969,1.808
"Combat Service Support","Army National Guard","Male",86.2,0.999,1.818
"Combat Support","Army National Guard","Male",84.1,1.002,1.67
"Combat Support","Army National Guard","Male",108.4,1.071,1.893
"Combat Service Support","Army National Guard","Male",81.6,0.89,1.802
"Combat Service Support","Army National Guard","Male",91.4,1.071,1.697
"Combat Support","Army National Guard","Male",93,1.056,1.722
"Combat Support","Army National Guard","Male",89.7,1.021,1.745
"Combat Support","Army National Guard","Male",98.2,1.104,1.729
"Combat Service Support","Army National Guard","Male",82.9,0.962,1.74
"Combat Service Support","Army Reserve","Male",77.1,0.886,1.674
"Combat Support","Army National Guard","Male",90.3,1,1.742
"Combat Support","Army National Guard","Male",88,1.013,1.777
"Combat Support","Army National Guard","Male",104.3,1.112,1.78
"Combat Support","Army National Guard","Male",63.3,0.826,1.6
"Combat Support","Army National Guard","Male",97.3,1.049,1.707
"Combat Support","Army National Guard","Male",79.7,0.97,1.781
"Combat Service Support","Regular Army","Male",72,0.82,1.765
"Combat Support","Regular Army","Male",65.9,0.778,1.784
"Combat Service Support","Regular Army","Male",124.7,1.165,1.808
"Combat Service Support","Regular Army","Male",82.1,0.96,1.702
"Combat Arms","Regular Army","Male",75.9,0.883,1.777
"Combat Arms","Regular Army","Male",77.4,0.888,1.728
"Combat Support","Regular Army","Male",77.5,0.882,1.746
"Combat Service Support","Regular Army","Male",78.5,0.875,1.717
"Combat Service Support","Regular Army","Male",75.3,0.821,1.809
"Combat Service Support","Regular Army","Male",87.2,0.902,1.742
"Combat Service Support","Regular Army","Male",91.8,0.954,1.946
"Combat Service Support","Regular Army","Male",90,0.963,1.787
"Combat Support","Regular Army","Male",82.5,0.943,1.825
"Combat Service Support","Regular Army","Male",87.7,0.851,1.915
"Combat Service Support","Regular Army","Male",86,0.907,1.831
"Combat Service Support","Regular Army","Male",93.2,0.992,1.798
"Combat Arms","Regular Army","Male",69.9,0.767,1.77
"Combat Arms","Regular Army","Male",72.3,0.835,1.733
"Combat Service Support","Regular Army","Male",70.4,0.851,1.706
"Combat Service Support","Regular Army","Male",83.7,0.864,1.802
"Combat Arms","Regular Army","Male",79.5,0.887,1.707
"Combat Arms","Regular Army","Male",122.2,1.287,1.736
"Combat Arms","Regular Army","Male",97.4,1.124,1.787
"Combat Service Support","Regular Army","Male",68.4,0.846,1.613
"Combat Arms","Regular Army","Male",58.4,0.813,1.638
"Combat Arms","Regular Army","Male",96.1,1.07,1.779
"Combat Service Support","Regular Army","Male",66.6,0.735,1.77
"Combat Service Support","Regular Army","Male",93.8,1.015,1.734
"Combat Support","Regular Army","Male",77.6,0.895,1.712
"Combat Arms","Regular Army","Male",90.3,0.932,1.817
"Combat Service Support","Regular Army","Male",60.1,0.762,1.618
"Combat Service Support","Regular Army","Male",73.2,0.884,1.673
"Combat Support","Regular Army","Male",102.6,1.07,1.745
"Combat Service Support","Regular Army","Male",67.5,0.739,1.836
"Combat Support","Regular Army","Male",73.8,0.836,1.722
"Combat Support","Regular Army","Male",94.1,1.08,1.718
"Combat Arms","Regular Army","Male",75.9,0.816,1.824
"Combat Arms","Regular Army","Male",88.7,0.904,1.941
"Combat Arms","Regular Army","Male",65,0.756,1.883
"Combat Arms","Regular Army","Male",74.2,0.808,1.838
"Combat Arms","Regular Army","Male",75.6,0.845,1.772
"Combat Service Support","Regular Army","Male",109.5,1.075,1.797
"Combat Support","Regular Army","Male",66.9,0.853,1.699
"Combat Arms","Regular Army","Male",104.5,1.073,1.7
"Combat Arms","Regular Army","Male",81.7,1.018,1.707
"Combat Service Support","Regular Army","Male",87.4,0.846,1.818
"Combat Service Support","Regular Army","Male",69.1,0.856,1.708
"Combat Service Support","Regular Army","Male",83.6,0.883,1.787
"Combat Service Support","Regular Army","Male",67.8,0.889,1.75
"Combat Service Support","Regular Army","Male",95,0.985,1.742
"Combat Support","Regular Army","Male",91.5,1.086,1.623
"Combat Service Support","Regular Army","Male",82.4,0.893,1.771
"Combat Support","Regular Army","Male",81.6,0.911,1.724
"Combat Service Support","Regular Army","Male",99.6,0.929,1.951
"Combat Support","Regular Army","Male",70.5,0.77,1.729
"Combat Support","Regular Army","Male",59.6,0.751,1.719
"Combat Support","Regular Army","Male",89.9,0.97,1.723
"Combat Service Support","Regular Army","Male",82.2,0.985,1.694
"Combat Service Support","Regular Army","Male",79.9,0.958,1.691
"Combat Support","Regular Army","Male",78.6,0.846,1.733
"Combat Support","Regular Army","Male",76.6,0.952,1.677
"Combat Service Support","Regular Army","Male",66.7,0.775,1.758
"Combat Arms","Regular Army","Male",120.9,1.168,1.899
"Combat Arms","Regular Army","Male",77.8,0.915,1.761
"Combat Service Support","Regular Army","Male",74.4,0.913,1.716
"Combat Service Support","Regular Army","Male",93.1,1.021,1.741
"Combat Service Support","Regular Army","Male",88.2,0.995,1.774
"Combat Arms","Regular Army","Male",84.6,1.016,1.714
"Combat Arms","Army National Guard","Male",96.1,1.027,1.745
"Combat Arms","Regular Army","Male",101.4,1.08,1.754
"Combat Arms","Regular Army","Male",85.4,0.958,1.727
"Combat Arms","Regular Army","Male",90.5,1.028,1.774
"Combat Support","Regular Army","Male",99,1.097,1.756
"Combat Service Support","Regular Army","Male",82.2,0.914,1.756
"Combat Arms","Regular Army","Male",87.6,1.032,1.774
"Combat Arms","Regular Army","Male",86,1.04,1.681
"Combat Arms","Regular Army","Male",85.8,0.984,1.702
"Combat Service Support","Regular Army","Male",90.9,0.967,1.735
"Combat Arms","Army National Guard","Male",99.8,1.024,1.744
"Combat Support","Regular Army","Male",91.7,1.004,1.732
"Combat Service Support","Regular Army","Male",78.8,0.908,1.711
"Combat Support","Army National Guard","Male",69.7,0.874,1.635
"Combat Arms","Regular Army","Male",80.6,0.901,1.706
"Combat Service Support","Regular Army","Male",86.1,0.924,1.771
"Combat Support","Army Reserve","Male",108.2,1.1,1.792
"Combat Arms","Regular Army","Male",94.9,0.983,1.831
"Combat Arms","Regular Army","Male",99.3,0.995,1.852
"Combat Service Support","Regular Army","Male",99.5,1.074,1.821
"Combat Arms","Regular Army","Male",101.8,1.091,1.754
"Combat Support","Regular Army","Male",73.9,0.97,1.684
"Combat Support","Army Reserve","Male",90.1,1.015,1.709
"Combat Service Support","Regular Army","Male",97.1,0.934,1.826
"Combat Service Support","Regular Army","Male",89.7,0.96,1.795
"Combat Arms","Regular Army","Male",78,0.91,1.782
"Combat Service Support","Regular Army","Male",99.1,1.121,1.769
"Combat Arms","Regular Army","Male",87.2,0.986,1.745
"Combat Service Support","Regular Army","Male",94.6,0.974,1.803
"Combat Service Support","Regular Army","Male",90.9,1.036,1.735
"Combat Arms","Regular Army","Male",71.7,0.887,1.785
"Combat Support","Regular Army","Male",73.2,0.96,1.661
"Combat Service Support","Regular Army","Male",107.5,1.021,1.784
"Combat Support","Army National Guard","Male",81.3,0.925,1.773
"Combat Service Support","Regular Army","Male",94.9,1.048,1.79
"Combat Arms","Regular Army","Male",84.6,0.972,1.725
"Combat Arms","Regular Army","Male",79.5,0.909,1.83
"Combat Support","Regular Army","Male",84.4,0.917,1.699
"Combat Arms","Regular Army","Male",74.7,0.874,1.773
"Combat Support","Regular Army","Male",73.6,0.972,1.69
"Combat Service Support","Regular Army","Male",86.2,0.955,1.774
"Combat Service Support","Army National Guard","Male",78.4,0.914,1.734
"Combat Support","Regular Army","Male",101.4,0.996,1.804
"Combat Support","Regular Army","Male",71.6,0.868,1.655
"Combat Support","Army National Guard","Male",79.6,0.855,1.765
"Combat Arms","Army National Guard","Male",94.5,1.023,1.781
"Combat Service Support","Regular Army","Male",85.8,0.947,1.871
"Combat Service Support","Regular Army","Male",86.7,1.017,1.566
"Combat Support","Regular Army","Male",87.1,0.991,1.782
"Combat Support","Regular Army","Male",95.2,0.975,1.737
"Combat Arms","Regular Army","Male",80,0.939,1.75
"Combat Support","Regular Army","Male",105.4,0.993,1.904
"Combat Arms","Regular Army","Male",84.8,0.963,1.785
"Combat Service Support","Regular Army","Male",89.5,0.975,1.763
"Combat Support","Regular Army","Male",81.7,0.955,1.735
"Combat Service Support","Regular Army","Male",90.3,1.006,1.727
"Combat Arms","Army National Guard","Male",122.3,1.133,1.903
"Combat Service Support","Regular Army","Male",92.5,0.993,1.788
"Combat Service Support","Army Reserve","Male",105.6,1.083,1.821
"Combat Arms","Regular Army","Male",91.4,1.126,1.647
"Combat Arms","Regular Army","Male",96.3,1.027,1.873
"Combat Support","Regular Army","Male",79.1,0.828,1.756
"Combat Service Support","Regular Army","Male",108.3,0.974,1.794
"Combat Support","Regular Army","Male",97.4,1.069,1.732
"Combat Arms","Regular Army","Male",84.6,0.981,1.678
"Combat Service Support","Regular Army","Male",107.4,1.038,1.806
"Combat Arms","Regular Army","Male",75.9,1.016,1.611
"Combat Support","Regular Army","Male",112.9,1.098,1.89
"Combat Arms","Regular Army","Male",93.3,0.934,1.783
"Combat Service Support","Regular Army","Male",104,1.07,1.857
"Combat Service Support","Regular Army","Male",91.4,1.001,1.774
"Combat Service Support","Regular Army","Male",110.7,1.072,1.843
"Combat Support","Regular Army","Male",95.9,0.962,1.729
"Combat Support","Regular Army","Male",106.4,0.991,1.94
"Combat Support","Regular Army","Male",78.8,0.933,1.721
"Combat Arms","Regular Army","Male",90,0.999,1.828
"Combat Arms","Regular Army","Male",90.3,1.028,1.762
"Combat Service Support","Regular Army","Male",80.9,0.927,1.715
"Combat Arms","Army National Guard","Male",87.2,1.012,1.783
"Combat Support","Regular Army","Male",89.3,1.01,1.707
"Combat Arms","Regular Army","Male",93.4,1.022,1.812
"Combat Arms","Regular Army","Male",88.8,0.891,1.86
"Combat Support","Regular Army","Male",89.1,0.904,1.768
"Combat Support","Regular Army","Male",95.4,0.922,1.761
"Combat Arms","Regular Army","Male",95.8,1.039,1.722
"Combat Support","Army National Guard","Male",81.2,0.927,1.789
"Combat Service Support","Army Reserve","Male",102.4,1.13,1.78
"Combat Support","Regular Army","Male",84.6,0.999,1.768
"Combat Support","Regular Army","Male",89.3,0.92,1.659
"Combat Arms","Regular Army","Male",78.4,0.944,1.733
"Combat Support","Regular Army","Male",101.4,1.038,1.924
"Combat Service Support","Regular Army","Male",80.1,0.948,1.698
"Combat Arms","Regular Army","Male",100.3,1.06,1.791
"Combat Arms","Regular Army","Male",87.1,0.933,1.8
"Combat Support","Army National Guard","Male",92.8,0.985,1.848
"Combat Arms","Regular Army","Male",80.9,0.895,1.747
"Combat Service Support","Regular Army","Male",117.1,1.13,1.905
"Combat Service Support","Regular Army","Male",88.2,0.931,1.671
"Combat Support","Army Reserve","Male",74.9,0.919,1.669
"Combat Arms","Regular Army","Male",95.7,1.025,1.81
"Combat Service Support","Regular Army","Male",88.1,0.903,1.865
"Combat Support","Army National Guard","Male",71,0.909,1.801
"Combat Arms","Regular Army","Male",78.8,0.961,1.707
"Combat Arms","Regular Army","Male",84.4,0.983,1.707
"Combat Service Support","Regular Army","Male",89.5,1.027,1.715
"Combat Service Support","Regular Army","Male",93.1,1.022,1.803
"Combat Support","Army Reserve","Male",90.4,0.962,1.717
"Combat Arms","Regular Army","Male",106.1,1.082,1.823
"Combat Service Support","Regular Army","Male",85.8,0.97,1.768
"Combat Support","Regular Army","Male",85.8,1.065,1.622
"Combat Service Support","Regular Army","Male",90.9,0.896,1.78
"Combat Arms","Regular Army","Male",93.9,0.984,1.716
"Combat Arms","Regular Army","Male",109.7,1.082,1.778
"Combat Service Support","Regular Army","Male",66.9,0.827,1.704
"Combat Arms","Army Reserve","Male",85.6,0.913,1.783
"Combat Service Support","Regular Army","Male",96.4,1.01,1.775
"Combat Service Support","Regular Army","Male",75.9,0.816,1.749
"Combat Service Support","Regular Army","Male",81.8,0.944,1.794
"Combat Support","Regular Army","Male",88.5,1.011,1.724
"Combat Service Support","Regular Army","Male",104.6,1.058,1.831
"Combat Service Support","Regular Army","Male",90.5,0.954,1.867
"Combat Arms","Regular Army","Male",85.6,0.985,1.794
"Combat Support","Regular Army","Male",89.3,0.954,1.777
"Combat Arms","Regular Army","Male",82.7,0.935,1.771
"Combat Service Support","Regular Army","Male",101.2,1.143,1.805
"Combat Support","Regular Army","Male",83.2,0.97,1.739
"Combat Support","Army National Guard","Male",94.2,1.068,1.733
"Combat Service Support","Army National Guard","Male",96.6,1.044,1.694
"Combat Arms","Regular Army","Male",103.6,1.044,1.821
"Combat Arms","Regular Army","Male",78.8,0.888,1.765
"Combat Support","Regular Army","Male",87.3,0.893,1.779
"Combat Support","Army Reserve","Male",92.6,0.948,1.802
"Combat Arms","Army Reserve","Male",84.6,0.952,1.783
"Combat Service Support","Regular Army","Male",87.8,0.924,1.853
"Combat Service Support","Regular Army","Male",80.8,0.992,1.744
"Combat Service Support","Regular Army","Male",81.6,0.994,1.709
"Combat Arms","Regular Army","Male",89.5,0.991,1.855
"Combat Arms","Regular Army","Male",88.2,0.928,1.765
"Combat Arms","Regular Army","Male",89,0.977,1.764
"Combat Service Support","Regular Army","Male",101.5,1.052,1.807
"Combat Arms","Regular Army","Male",89.5,0.921,1.775
"Combat Arms","Regular Army","Male",79.5,0.889,1.76
"Combat Service Support","Army Reserve","Male",91.5,1.02,1.851
"Combat Arms","Army Reserve","Male",73.4,0.931,1.734
"Combat Service Support","Army Reserve","Male",108.7,1.138,1.781
"Combat Arms","Regular Army","Male",95.9,1.063,1.758
"Combat Arms","Army Reserve","Male",74.3,0.932,1.635
"Combat Arms","Regular Army","Male",83.7,0.972,1.745
"Combat Arms","Regular Army","Male",79.1,0.941,1.74
"Combat Support","Army Reserve","Male",85.1,1.001,1.739
"Combat Arms","Regular Army","Male",80.2,0.905,1.774
"Combat Service Support","Regular Army","Male",95.8,1.079,1.802
"Combat Service Support","Regular Army","Male",82.8,0.9,1.728
"Combat Service Support","Regular Army","Male",77.9,0.961,1.71
"Combat Support","Regular Army","Male",83.3,0.915,1.735
"Combat Support","Regular Army","Male",57.8,0.72,1.671
"Combat Arms","Regular Army","Male",105.5,1.06,1.791
"Combat Service Support","Regular Army","Male",89.8,0.98,1.794
"Combat Arms","Regular Army","Male",93.7,0.958,1.853
"Combat Arms","Regular Army","Male",88.7,1.054,1.712
"Combat Service Support","Regular Army","Male",79.7,0.914,1.777
"Combat Support","Regular Army","Male",100.1,1.021,1.815
"Combat Service Support","Army Reserve","Male",82.7,0.861,1.859
"Combat Service Support","Army Reserve","Male",77.1,1.046,1.609
"Combat Support","Regular Army","Male",84.4,0.981,1.66
"Combat Arms","Regular Army","Male",95.3,1.05,1.863
"Combat Service Support","Army Reserve","Male",77.9,0.947,1.819
"Combat Service Support","Army Reserve","Male",71.3,0.93,1.726
"Combat Service Support","Army Reserve","Male",106.4,1.094,1.717
"Combat Arms","Army Reserve","Male",94.4,1.099,1.762
"Combat Service Support","Regular Army","Male",81,0.908,1.782
"Combat Support","Army Reserve","Male",80.8,0.952,1.782
"Combat Support","Army Reserve","Male",82.6,0.922,1.734
"Combat Support","Regular Army","Male",66.3,0.966,1.528
"Combat Service Support","Army National Guard","Male",72.5,0.823,1.75
"Combat Service Support","Army National Guard","Male",76.6,0.92,1.793
"Combat Service Support","Army National Guard","Male",76.6,0.956,1.706
"Combat Service Support","Army National Guard","Male",104.7,1.051,1.794
"Combat Service Support","Army National Guard","Male",72.7,0.878,1.778
"Combat Support","Army Reserve","Male",79.7,0.976,1.7
"Combat Support","Army Reserve","Male",95,1.013,1.689
"Combat Support","Army Reserve","Male",87.4,0.969,1.659
"Combat Support","Army Reserve","Male",91.4,0.996,1.653
"Combat Support","Army Reserve","Male",85.2,1.041,1.647
"Combat Support","Army Reserve","Male",78.2,0.838,1.794
"Combat Support","Army Reserve","Male",76.2,0.947,1.681
"Combat Support","Army Reserve","Male",90.8,1.043,1.7
"Combat Support","Army Reserve","Male",76.7,0.851,1.755
"Combat Service Support","Army Reserve","Male",85.9,1.004,1.71
"Combat Service Support","Army Reserve","Male",106.7,1.043,1.845
"Combat Service Support","Army Reserve","Male",84.9,0.982,1.696
"Combat Service Support","Army Reserve","Male",70,0.84,1.792
"Combat Service Support","Army Reserve","Male",65.7,0.827,1.735
"Combat Service Support","Army Reserve","Male",84.5,0.951,1.677
"Combat Service Support","Army Reserve","Male",98.7,1.047,1.767
"Combat Service Support","Army Reserve","Male",85.7,1.001,1.751
"Combat Service Support","Army Reserve","Male",104.5,1.086,1.769
"Combat Service Support","Army Reserve","Male",89.3,1.059,1.736
"Combat Service Support","Army Reserve","Male",103.2,0.978,1.873
"Combat Service Support","Army National Guard","Male",89.4,0.957,1.743
"Combat Service Support","Army National Guard","Male",66.6,0.773,1.775
"Combat Service Support","Army National Guard","Male",89,0.936,1.717
"Combat Arms","Army National Guard","Male",105.6,1.112,1.706
"Combat Service Support","Army National Guard","Male",84.3,0.941,1.761
"Combat Service Support","Army National Guard","Male",74.6,0.867,1.66
"Combat Service Support","Army National Guard","Male",59.7,0.766,1.665
"Combat Support","Army National Guard","Male",82.6,0.946,1.773
"Combat Arms","Army National Guard","Male",90.7,0.951,1.735
"Combat Service Support","Army National Guard","Male",87.7,0.93,1.723
"Combat Service Support","Army National Guard","Male",68.5,0.822,1.693
"Combat Service Support","Army National Guard","Male",76.7,0.908,1.728
"Combat Service Support","Army National Guard","Male",108.1,1.082,1.809
"Combat Service Support","Army National Guard","Male",77.2,0.898,1.671
"Combat Arms","Army National Guard","Male",82.9,0.909,1.775
"Combat Service Support","Army National Guard","Male",85.7,1.01,1.727
"Combat Service Support","Army National Guard","Male",69.1,0.86,1.675
"Combat Service Support","Army National Guard","Male",80.6,0.938,1.697
"Combat Service Support","Army Reserve","Male",73.7,0.875,1.76
"Combat Support","Army National Guard","Male",77.5,0.836,1.766
"Combat Service Support","Army National Guard","Male",100.6,1.155,1.707
"Combat Support","Army National Guard","Male",86,1.007,1.798
"Combat Service Support","Army National Guard","Male",59.7,0.778,1.682
"Combat Support","Army National Guard","Male",97.9,1.129,1.747
"Combat Service Support","Army National Guard","Male",89.7,0.88,1.966
"Combat Support","Army National Guard","Male",101.6,1.034,1.737
"Combat Service Support","Army National Guard","Male",111.9,1.036,1.863
"Combat Service Support","Army National Guard","Male",71.1,0.815,1.857
"Combat Arms","Army National Guard","Male",105.7,1.008,1.849
"Combat Service Support","Army National Guard","Male",82.8,0.924,1.836
"Combat Service Support","Army National Guard","Male",85.1,0.939,1.73
"Combat Support","Army National Guard","Male",104.7,1.03,1.95
"Combat Service Support","Army National Guard","Male",78.1,0.909,1.637
"Combat Service Support","Regular Army","Male",98.4,0.995,1.796
"Combat Arms","Regular Army","Male",76.1,0.876,1.692
"Combat Arms","Regular Army","Male",76.4,0.933,1.624
"Combat Service Support","Army National Guard","Male",97,1.105,1.62
"Combat Arms","Army National Guard","Male",86.8,0.997,1.686
"Combat Service Support","Army Reserve","Male",80.1,0.955,1.744
"Combat Service Support","Army National Guard","Male",86.1,1.026,1.713
